modelo,n_ml,mediana_ml,n_olx,mediana_olx,n_geral,mediana_geral,min_geral,max_geral,novo_kabum_min,novo_ml_min
RTX 4060,9,2100,10,1999,19,2000,1600,3125,,2210
RTX 3070,28,2489,8,2050,36,2400,1849,4006,,2458
RTX 3060 Ti,20,2130,12,1800,32,1950,1650,2550,,2799
RTX 3060,19,1900,6,1900,25,1900,1500,3299,2354,2200
RTX 2060 Super,5,1430,11,1290,16,1300,799,1799,3096,1811
RTX 2060,29,1350,7,1250,36,1350,1100,1800,1470,1598
RX 6600 XT,3,1500,6,1600,9,1600,1000,1700,,
RX 6600,11,1622,8,1300,19,1350,1199,2332,1720,1699
GTX 1660 Super,30,1195,10,1050,40,1125,850,1800,1294,1469
GTX 1650,42,850,8,690,50,812,450,1250,1189,1099
RX 580,24,850,9,600,33,750,450,1030,918,999
RX 570,0,,0,,0,,,,,
